shortname,parent_shortname,question_title,type
selfmon_problems,,Please indicate how much you agree or disagree with each of the following statements.,TABLE
selfmon_burnout_experience,,Have you experienced burnout in the past 1–2 years?,RADIO
selfmon_mental_health_apps,,In which aspects of life do you use special tools or apps to help take care of your mental health?,CHECKBOX
ps_selfmonitoring,,"Do you use any self-monitoring apps or devices to track physical activity, sleep quality, health, and so on?",RADIO
ps_care,,Do you take care of your mental health?,CHECKBOX
selfmon_company_support,,Does your company subsidize mental health activities (e.g. subscription to mental health apps)?,RADIO
ps_focus,,Which of the following most affect your ability to focus at work? Select up to three options. ,CHECKBOX
ps_focus_tools,,"Do you use any tools, techniques, or strategies to help maintain or improve your focus during work?",RADIO
ps_focus_tools_often,,Which of the following methods do you use at least a couple of times per week to help maintain or improve your focus at work?,CHECKBOX
ps_distraction_types,,Which type of interruptions or distractions do you experience more frequently during a typical workday?,RADIO
news_where,,Which types of media do you use to keep up with tech or software development news?,CHECKBOX
media_ai_news,,Which of the following information sources do you use to keep up with news on AI tools for coding and development?,CHECKBOX
tech_news_source,,What is your primary source of tech news and development-related information?,CHECKBOX
media_purpose,,What do you use social media for?,CHECKBOX
lifestyle_tools_use,,Which of the following tools or subscriptions do you use?,CHECKBOX
answers_platform,,"When searching for answers to development-related questions, which of the following platforms do you use most frequently?",CHECKBOX
events.Conferences,events,Conferences,CHECKBOX
events.User groups,events,User groups,CHECKBOX
events.Meetups,events,Meetups,CHECKBOX
events.Workshops,events,Workshops,CHECKBOX
events.Hackathons,events,Hackathons,CHECKBOX
events,,Have you attended any of the following events during the last year?,TABLE
social_media_check,,Which social media platforms do you check at least once a day?,CHECKBOX
online_community_check,,Which online communities do you check at least once a month?,CHECKBOX
sites_visited,,Which of the following sites have you visited in the last six months?,CHECKBOX
contribute_os,,Do you contribute to open-source projects?,RADIO
region,,Region,Fiction
